step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,-6.0,18.0,117.71
2,0,0,18,0,-10.0,24.0,115.43
3,0,0,18,0,-12.0,32.0,113.14
4,0,0,18,0,-16.0,40.0,110.86
5,0,0,18,0,-32.0,47.0,108.57
6,0,0,18,0,-58.0,56.0,106.29
7,0,0,18,0,-80.0,67.0,103.67
8,0,0,18,1,-96.0,82.0,101.33
9,0,0,18,4,-116.0,93.0,99.33
10,0,0,18,4,-118.0,96.0,97.0
11,0,0,18,4,-120.0,102.0,94.67
12,0,0,18,4,-120.0,109.0,92.33
13,0,0,18,4,-120.0,115.0,90.33
14,0,0,18,4,-122.0,122.0,88.0
15,0,0,18,4,-122.0,124.0,84.0
16,0,0,18,4,-122.0,124.0,81.67
17,0,0,18,4,-122.0,124.0,79.33
18,0,0,18,4,-124.0,124.0,77.33
19,0,0,18,4,-126.0,124.0,75.0
20,0,0,18,4,-128.0,124.0,71.0
21,0,0,18,4,-130.0,124.0,69.0
22,0,0,18,4,-132.0,124.0,66.67
23,0,0,18,4,-134.0,124.0,64.33
24,0,1,17,4,-140.0,124.0,62.0
25,0,1,17,4,-142.0,124.0,60.0
26,1,1,16,4,-134.0,124.0,54.33
27,1,1,16,4,-136.0,124.0,52.0
28,1,1,16,4,-138.0,124.0,49.67
29,2,1,15,4,-123.0,124.0,44.0
30,2,1,15,4,-125.0,124.0,41.67
31,2,1,15,4,-129.0,124.0,39.33
32,2,1,15,4,-133.0,124.0,37.0
33,2,3,13,4,-145.0,124.0,34.67
34,2,3,13,4,-149.0,124.0,39.67
35,2,4,12,4,-157.0,124.0,37.33
36,2,4,12,4,-159.0,124.0,44.33
37,2,4,12,4,-163.0,124.0,42.0
38,2,5,11,4,-171.0,124.0,39.67
39,2,6,10,4,-179.0,124.0,35.0
40,2,7,9,5,-189.0,124.0,32.5
41,2,8,8,5,-193.0,124.0,30.0
42,2,8,8,5,-193.0,124.0,28.0
43,2,8,8,5,-193.0,124.0,25.5
44,2,8,8,5,-193.0,124.0,23.0
45,2,8,8,5,-193.0,124.0,32.0
46,2,8,8,5,-193.0,124.0,43.5
47,2,8,8,5,-198.0,124.0,38.5
48,2,8,8,5,-198.0,124.0,36.0
49,2,8,8,5,-203.0,124.0,30.5
50,2,8,8,5,-203.0,124.0,39.5
51,2,9,7,5,-207.0,124.0,37.0
52,2,10,6,5,-216.0,124.0,31.5
53,2,10,6,5,-216.0,124.0,29.0
54,2,10,6,5,-221.0,124.0,23.5
55,2,11,5,5,-225.0,124.0,32.5
56,2,11,5,5,-230.0,124.0,38.5
57,2,11,5,5,-230.0,124.0,36.0
58,2,13,3,5,-238.0,124.0,30.5
59,2,13,3,5,-243.0,124.0,25.0
60,2,13,3,5,-243.0,124.0,33.5
61,2,13,3,5,-243.0,124.0,31.0
62,2,13,3,5,-248.0,124.0,25.5
63,2,13,3,5,-248.0,124.0,23.0
64,2,13,3,5,-253.0,124.0,29.0
65,2,13,3,5,-253.0,124.0,38.0
66,2,14,2,5,-257.0,124.0,35.5
67,2,14,2,5,-262.0,124.0,30.5
68,2,14,2,5,-262.0,124.0,28.0
69,2,14,2,5,-262.0,124.0,25.5
70,2,15,1,5,-266.0,124.0,34.5
71,2,16,0,5,-270.0,124.0,32.0
