step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,17.0,117.86
2,0,0,18,0,-2.0,20.0,115.71
3,0,0,18,0,-4.0,24.0,113.43
4,0,0,18,0,-10.0,29.0,111.14
5,0,0,18,0,-18.0,41.0,108.14
6,0,0,18,0,-26.0,60.0,106.0
7,0,0,18,0,-34.0,69.0,103.8
8,0,0,18,2,-48.0,75.0,101.6
9,0,0,18,2,-50.0,88.0,99.4
10,0,0,18,2,-50.0,96.0,97.2
11,0,1,17,2,-54.0,102.0,95.2
12,0,1,17,2,-56.0,115.0,93.0
13,0,1,17,2,-58.0,119.0,90.8
14,0,1,17,2,-60.0,119.0,88.6
15,0,1,17,2,-60.0,119.0,86.4
16,0,1,17,2,-60.0,119.0,84.2
17,0,1,17,2,-60.0,119.0,82.0
18,0,1,17,2,-60.0,119.0,79.8
19,0,1,17,2,-62.0,119.0,76.4
20,0,1,17,2,-64.0,119.0,74.4
21,1,2,15,2,-55.0,119.0,70.2
22,1,3,14,2,-61.0,119.0,68.0
23,1,4,13,2,-67.0,119.0,65.8
24,1,5,12,2,-75.0,119.0,63.6
25,1,6,11,2,-79.0,119.0,61.4
26,1,7,10,2,-83.0,119.0,59.2
27,1,7,10,2,-83.0,119.0,55.8
28,1,7,10,2,-83.0,119.0,52.4
29,2,7,9,2,-79.0,119.0,48.2
30,3,7,8,2,-73.0,119.0,44.0
31,4,7,7,2,-58.0,119.0,40.0
32,4,7,7,2,-60.0,119.0,37.8
33,4,7,7,2,-60.0,119.0,35.6
34,4,7,7,2,-60.0,119.0,42.2
35,4,8,6,2,-64.0,119.0,45.6
36,4,9,5,2,-68.0,119.0,43.4
37,4,9,5,2,-70.0,119.0,41.4
38,4,12,2,2,-84.0,119.0,39.2
39,4,13,1,2,-90.0,119.0,37.4
40,4,14,0,2,-94.0,119.0,36.0
