step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,-2.0,17.0,117.71
2,0,0,18,0,-2.0,18.0,115.43
3,0,0,18,0,-2.0,24.0,113.14
4,0,0,18,0,-2.0,31.0,110.14
5,0,0,18,0,-4.0,38.0,107.86
6,0,0,18,0,-6.0,45.0,105.57
7,0,0,18,0,-6.0,54.0,103.29
8,0,0,18,0,-8.0,65.0,100.14
9,0,0,18,0,-10.0,76.0,97.86
10,0,0,18,0,-10.0,88.0,95.71
11,0,1,17,0,-14.0,106.0,92.57
12,1,1,16,0,-6.0,123.0,88.86
13,2,1,15,0,-4.0,123.0,85.29
14,2,1,15,0,-6.0,123.0,83.0
15,2,2,14,0,-12.0,123.0,80.86
16,2,3,13,0,-16.0,123.0,78.57
17,2,4,12,0,-24.0,123.0,76.29
18,2,5,11,0,-37.0,123.0,72.43
19,2,6,10,0,-45.0,123.0,70.29
20,2,6,10,0,-54.0,125.0,67.43
21,2,6,10,0,-56.0,125.0,65.14
22,2,8,8,0,-68.0,125.0,62.86
23,3,9,6,0,-66.0,125.0,58.29
24,3,9,6,0,-68.0,125.0,56.14
25,3,10,5,0,-74.0,125.0,53.86
26,3,10,5,0,-74.0,125.0,51.57
27,3,10,5,0,-74.0,125.0,49.29
28,3,11,4,0,-80.0,125.0,47.0
29,3,12,3,0,-86.0,125.0,44.71
30,3,14,1,0,-96.0,125.0,42.43
31,3,14,1,0,-100.0,125.0,40.43
32,3,14,1,0,-102.0,125.0,38.43
33,3,14,1,0,-106.0,125.0,36.57
34,4,14,0,0,-93.0,125.0,33.43
