step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,17.0,117.71
2,0,0,18,0,-2.0,17.0,113.71
3,0,0,18,0,-4.0,22.0,111.43
4,2,0,16,0,24.0,33.0,106.29
5,2,0,16,0,24.0,39.0,104.0
6,2,0,16,0,24.0,42.0,101.71
7,2,0,16,0,22.0,56.0,99.43
8,2,0,16,0,16.0,79.0,97.14
9,2,0,16,0,10.0,98.0,95.0
10,2,1,15,0,-6.0,113.0,92.71
11,2,1,15,0,-20.0,120.0,90.43
12,2,2,14,0,-28.0,120.0,88.14
13,2,3,13,0,-42.0,120.0,84.67
14,2,3,13,1,-54.0,120.0,82.4
15,2,3,13,2,-68.0,120.0,80.0
16,2,3,13,2,-70.0,120.0,75.0
17,2,3,13,3,-78.0,120.0,72.5
18,2,3,13,3,-80.0,120.0,70.25
19,2,3,13,3,-80.0,120.0,68.0
20,2,3,13,3,-82.0,120.0,66.0
21,2,4,12,3,-88.0,120.0,63.5
22,2,4,12,3,-90.0,120.0,61.0
23,2,5,11,3,-96.0,120.0,58.5
24,2,5,11,3,-98.0,120.0,56.5
25,2,6,10,3,-104.0,120.0,54.0
26,2,8,8,3,-114.0,120.0,51.75
27,2,9,7,3,-118.0,120.0,49.25
28,2,9,7,3,-118.0,120.0,47.0
29,2,9,7,3,-118.0,120.0,44.5
30,2,10,6,3,-122.0,120.0,42.25
31,2,10,6,3,-122.0,120.0,40.25
32,2,10,6,3,-122.0,120.0,38.25
33,2,10,6,3,-122.0,120.0,36.25
34,2,10,6,3,-124.0,120.0,33.75
35,2,11,5,3,-128.0,120.0,38.75
36,2,11,5,3,-128.0,120.0,43.75
37,2,12,4,3,-132.0,120.0,41.25
38,2,12,4,3,-132.0,120.0,39.25
39,2,12,4,3,-132.0,120.0,42.75
40,2,12,4,3,-132.0,120.0,40.25
41,2,14,2,3,-140.0,120.0,38.25
42,2,14,2,3,-140.0,120.0,36.25
43,2,15,1,3,-144.0,120.0,34.25
44,2,15,1,3,-144.0,120.0,32.25
45,2,15,1,3,-144.0,120.0,44.25
46,2,15,1,3,-144.0,120.0,42.25
47,2,15,1,3,-144.0,120.0,40.5
48,2,15,1,3,-144.0,120.0,38.5
49,3,15,0,3,-134.0,120.0,34.0
