step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,-2.0,26.0,117.86
2,0,0,18,0,-2.0,29.0,115.57
3,0,0,18,0,-2.0,35.0,113.29
4,0,0,18,0,-8.0,41.0,111.14
5,0,0,18,0,-16.0,47.0,109.0
6,0,0,18,0,-22.0,56.0,106.71
7,0,0,18,0,-26.0,64.0,104.57
8,0,0,18,0,-30.0,80.0,103.0
9,0,0,18,1,-38.0,93.0,100.83
10,0,0,18,1,-44.0,111.0,98.83
11,0,0,18,1,-46.0,115.0,96.67
12,0,1,17,1,-50.0,115.0,93.5
13,0,1,17,1,-54.0,115.0,91.33
14,1,1,16,1,-46.0,115.0,87.5
15,1,1,16,1,-52.0,115.0,85.33
16,1,2,15,1,-58.0,115.0,82.17
17,1,3,14,1,-68.0,115.0,80.0
18,1,4,13,1,-76.0,115.0,78.0
19,1,5,12,1,-82.0,115.0,75.83
20,1,5,12,1,-88.0,115.0,73.67
21,1,6,11,1,-98.0,115.0,71.67
22,1,6,11,1,-100.0,115.0,68.2
23,1,7,10,2,-110.0,115.0,66.0
24,1,8,9,2,-118.0,115.0,63.8
25,1,8,9,2,-118.0,115.0,61.6
26,1,9,8,2,-122.0,115.0,58.2
27,1,11,6,2,-130.0,115.0,56.4
28,1,11,6,2,-130.0,115.0,54.6
29,1,11,6,2,-132.0,115.0,52.4
30,1,11,6,2,-132.0,115.0,50.6
31,1,11,6,2,-132.0,115.0,48.8
32,2,11,5,2,-122.0,115.0,45.2
33,2,11,5,2,-122.0,115.0,43.4
34,2,12,4,2,-126.0,115.0,41.2
35,2,12,4,2,-126.0,115.0,39.4
36,2,13,3,2,-132.0,115.0,43.2
37,2,14,2,2,-142.0,115.0,41.0
38,2,15,1,2,-148.0,115.0,38.8
39,2,15,1,2,-152.0,115.0,41.4
40,2,15,1,2,-152.0,115.0,39.2
41,2,15,1,2,-152.0,115.0,37.4
42,2,15,1,2,-152.0,115.0,40.2
43,3,15,0,2,-137.0,115.0,36.6
