step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,17.0,118.0
2,0,0,18,0,0.0,23.0,115.71
3,0,0,18,0,-6.0,30.0,112.71
4,1,0,17,0,-2.0,39.0,108.29
5,1,0,17,0,-12.0,47.0,106.0
6,1,0,17,0,-20.0,58.0,103.71
7,1,0,17,0,-30.0,67.0,101.43
8,1,0,17,0,-36.0,68.0,100.0
9,1,0,17,1,-48.0,77.0,97.67
10,1,0,17,1,-54.0,92.0,95.5
11,1,1,16,1,-66.0,112.0,92.17
12,1,1,16,1,-78.0,123.0,89.83
13,1,1,16,1,-86.0,123.0,87.5
14,1,1,16,1,-92.0,123.0,83.8
15,1,2,15,2,-102.0,123.0,81.6
16,1,2,15,2,-102.0,124.0,79.6
17,1,2,15,2,-102.0,124.0,78.25
18,1,2,15,3,-110.0,124.0,76.0
19,1,2,15,3,-110.0,124.0,73.5
20,1,3,14,3,-114.0,124.0,71.0
21,1,3,14,3,-116.0,124.0,68.5
22,1,3,14,3,-118.0,124.0,66.25
23,1,3,14,3,-120.0,124.0,63.75
24,1,5,12,3,-130.0,124.0,61.5
25,1,6,11,3,-134.0,124.0,59.0
26,1,6,11,3,-134.0,124.0,56.75
27,1,6,11,3,-134.0,124.0,54.5
28,1,6,11,3,-134.0,124.0,50.5
29,1,6,11,3,-134.0,124.0,48.0
30,1,6,11,3,-136.0,124.0,45.5
31,1,6,11,3,-138.0,124.0,43.0
32,1,7,10,3,-149.0,124.0,39.0
33,1,7,10,3,-151.0,124.0,36.75
34,1,8,9,3,-157.0,124.0,34.5
35,1,11,6,3,-171.0,124.0,32.0
36,1,11,6,3,-173.0,124.0,43.5
37,1,11,6,3,-175.0,124.0,41.0
38,1,13,4,3,-190.0,124.0,37.0
39,1,13,4,3,-190.0,124.0,40.25
40,1,13,4,3,-190.0,124.0,37.75
41,1,13,4,3,-190.0,124.0,35.5
42,1,13,4,3,-190.0,124.0,33.25
43,1,13,4,3,-190.0,124.0,31.0
44,1,13,4,3,-190.0,124.0,28.5
45,1,13,4,3,-192.0,124.0,26.25
46,1,15,2,3,-200.0,124.0,30.75
47,1,15,2,3,-200.0,124.0,35.75
48,1,15,2,3,-200.0,124.0,33.75
49,1,15,2,3,-200.0,124.0,37.5
50,1,15,2,3,-200.0,124.0,35.5
51,1,15,2,3,-200.0,124.0,33.5
52,1,15,2,3,-200.0,124.0,31.0
53,1,15,2,3,-200.0,124.0,29.25
54,1,15,2,3,-200.0,124.0,26.75
55,1,15,2,3,-202.0,124.0,24.75
56,1,15,2,3,-204.0,124.0,36.75
57,1,15,2,3,-204.0,124.0,35.0
58,1,15,2,3,-204.0,124.0,32.5
59,1,15,2,3,-206.0,124.0,35.5
60,1,15,2,3,-206.0,124.0,39.0
61,1,15,2,3,-208.0,126.0,36.75
62,1,15,2,3,-210.0,126.0,34.75
63,1,15,2,3,-212.0,126.0,33.0
64,1,15,2,3,-214.0,126.0,31.25
65,1,15,2,3,-214.0,126.0,29.0
66,1,15,2,3,-214.0,126.0,33.5
67,1,15,2,3,-214.0,126.0,38.5
68,1,15,2,3,-214.0,126.0,36.5
69,1,15,2,3,-216.0,126.0,34.75
70,1,15,2,3,-218.0,126.0,32.5
71,1,15,2,3,-218.0,126.0,36.25
72,1,15,2,3,-220.0,127.0,33.75
73,1,15,2,3,-222.0,127.0,31.75
74,1,15,2,3,-222.0,127.0,29.75
75,1,15,2,3,-222.0,127.0,27.75
76,1,15,2,3,-222.0,127.0,39.25
77,1,15,2,3,-222.0,127.0,36.75
78,1,15,2,3,-222.0,127.0,34.5
79,1,15,2,3,-222.0,127.0,32.75
80,1,15,2,3,-222.0,127.0,30.25
81,2,15,1,3,-212.0,127.0,25.75
82,2,15,1,3,-212.0,127.0,29.75
83,2,15,1,3,-212.0,127.0,27.75
84,3,15,0,3,-197.0,127.0,23.25
