step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,22.0,117.0
2,0,0,18,0,-2.0,29.0,113.86
3,1,0,17,0,9.0,38.0,110.14
4,2,0,16,0,22.0,43.0,106.43
5,2,0,16,0,22.0,52.0,104.14
6,2,0,16,0,18.0,59.0,101.86
7,2,0,16,0,14.0,68.0,99.71
8,2,0,16,0,10.0,83.0,96.57
9,2,0,16,0,4.0,92.0,94.43
10,3,0,15,0,13.0,110.0,90.86
11,3,1,14,0,3.0,120.0,88.71
12,3,1,14,0,-3.0,120.0,86.43
13,3,1,14,0,-7.0,120.0,81.5
14,3,1,14,1,-19.0,120.0,79.17
15,3,1,14,1,-23.0,120.0,76.83
16,3,1,14,1,-29.0,120.0,74.5
17,3,1,14,1,-33.0,120.0,72.33
18,3,2,13,1,-39.0,120.0,70.0
19,3,2,13,1,-46.0,120.0,66.83
20,3,3,12,1,-52.0,120.0,64.5
21,3,3,12,1,-57.0,120.0,61.33
22,3,5,10,1,-69.0,120.0,59.17
23,3,7,8,1,-79.0,120.0,56.83
24,3,8,7,1,-87.0,120.0,54.5
25,3,9,6,1,-95.0,120.0,52.33
26,3,9,6,1,-104.0,120.0,49.0
27,3,9,6,1,-106.0,120.0,46.67
28,3,9,6,1,-117.0,120.0,43.33
29,3,10,5,1,-123.0,120.0,44.67
30,3,10,5,1,-125.0,120.0,42.33
31,3,11,4,1,-138.0,120.0,39.17
32,3,11,4,1,-138.0,120.0,37.0
33,3,12,3,1,-144.0,120.0,38.5
34,3,13,2,1,-152.0,120.0,36.33
35,3,14,1,1,-160.0,120.0,40.5
36,3,14,1,3,-172.0,120.0,38.5
37,3,14,1,3,-172.0,120.0,43.5
38,4,14,0,3,-157.0,120.0,39.0
