step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,18.0,117.86
2,0,0,18,0,0.0,20.0,115.57
3,0,0,18,0,0.0,22.0,112.57
4,0,0,18,0,0.0,23.0,109.43
5,1,0,17,0,13.0,27.0,105.71
6,2,0,16,0,28.0,35.0,102.14
7,2,0,16,0,28.0,44.0,99.86
8,2,0,16,0,28.0,51.0,97.57
9,2,0,16,0,26.0,60.0,95.29
10,2,0,16,0,22.0,67.0,93.0
11,2,1,15,0,14.0,74.0,90.71
12,2,2,14,0,10.0,87.0,88.43
13,2,3,13,0,2.0,102.0,85.0
14,2,3,13,1,-4.0,113.0,82.67
15,2,3,13,1,-6.0,122.0,80.5
16,2,3,13,1,-12.0,122.0,78.17
17,2,3,13,1,-20.0,122.0,75.83
18,2,4,12,1,-30.0,122.0,73.5
19,2,5,11,1,-38.0,122.0,71.33
20,2,7,9,1,-52.0,122.0,68.17
21,2,7,9,1,-54.0,122.0,66.6
22,3,7,8,2,-47.0,122.0,60.4
23,3,7,8,2,-47.0,122.0,58.2
24,3,7,8,2,-47.0,122.0,56.2
25,3,7,8,2,-47.0,122.0,54.0
26,3,7,8,2,-47.0,122.0,52.0
27,3,8,7,2,-53.0,122.0,49.8
28,3,9,6,2,-59.0,122.0,47.6
29,3,9,6,2,-68.0,122.0,44.4
30,3,9,6,2,-77.0,122.0,42.75
31,3,10,5,3,-87.0,122.0,46.0
32,3,11,4,3,-93.0,122.0,44.75
33,3,12,3,3,-99.0,122.0,43.0
34,3,12,3,3,-99.0,122.0,41.75
35,3,12,3,3,-101.0,122.0,45.75
36,3,13,2,3,-105.0,122.0,44.5
37,3,14,1,3,-109.0,122.0,42.75
38,3,14,1,3,-111.0,122.0,41.0
39,3,15,0,3,-115.0,122.0,44.75
