step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,-2.0,18.0,117.71
2,0,0,18,0,-2.0,23.0,115.57
3,0,0,18,0,-2.0,30.0,113.29
4,0,0,18,0,-2.0,36.0,110.14
5,0,0,18,0,-2.0,43.0,108.0
6,0,0,18,0,-2.0,53.0,105.86
7,0,0,18,0,-2.0,63.0,103.71
8,0,0,18,0,-2.0,82.0,101.43
9,0,0,18,0,-2.0,94.0,99.14
10,0,1,17,0,-6.0,117.0,96.86
11,0,1,17,0,-10.0,117.0,94.29
12,0,1,17,0,-16.0,117.0,92.0
13,0,1,17,0,-22.0,117.0,90.29
14,0,2,16,0,-28.0,117.0,87.67
15,0,2,16,1,-34.0,117.0,86.0
16,0,2,16,1,-34.0,117.0,84.0
17,0,2,16,1,-36.0,117.0,82.5
18,0,2,16,1,-40.0,117.0,80.83
19,0,2,16,1,-44.0,117.0,78.5
20,0,6,12,1,-62.0,117.0,77.0
21,0,8,10,1,-74.0,117.0,75.17
22,0,8,10,1,-78.0,117.0,73.67
23,0,8,10,1,-84.0,117.0,71.67
24,0,8,10,1,-88.0,117.0,72.2
25,0,8,10,2,-94.0,117.0,70.2
26,0,8,10,2,-96.0,117.0,68.4
27,0,8,10,2,-102.0,117.0,66.4
28,0,8,10,2,-106.0,117.0,64.4
29,0,10,8,2,-116.0,117.0,62.4
30,0,10,8,2,-120.0,117.0,60.8
31,0,11,7,2,-128.0,117.0,59.2
32,0,12,6,2,-134.0,117.0,63.5
33,0,13,5,3,-146.0,117.0,62.25
34,0,14,4,3,-152.0,117.0,60.5
35,0,14,4,3,-154.0,117.0,59.25
36,0,14,4,3,-156.0,117.0,62.75
37,0,14,4,3,-156.0,118.0,61.0
38,0,15,3,3,-162.0,118.0,58.75
39,0,15,3,3,-162.0,118.0,57.5
40,0,15,3,3,-162.0,118.0,56.25
41,0,15,3,3,-162.0,118.0,55.0
42,0,15,3,3,-162.0,118.0,53.25
43,0,15,3,3,-162.0,118.0,57.25
44,0,15,3,3,-162.0,118.0,55.5
45,0,15,3,3,-164.0,118.0,53.25
46,0,15,3,3,-164.0,118.0,52.25
47,0,15,3,3,-164.0,118.0,50.0
48,0,15,3,3,-164.0,118.0,49.0
49,0,15,3,3,-164.0,118.0,47.25
50,0,15,3,3,-164.0,118.0,51.0
51,1,15,2,3,-149.0,118.0,47.25
52,1,15,2,3,-149.0,118.0,50.75
53,1,15,2,3,-149.0,118.0,49.75
54,1,15,2,3,-149.0,118.0,48.5
55,1,15,2,3,-149.0,118.0,46.75
56,1,15,2,3,-149.0,118.0,51.75
57,1,15,2,3,-149.0,118.0,50.5
58,1,15,2,3,-151.0,118.0,48.75
59,1,15,2,3,-153.0,118.0,47.5
60,1,15,2,3,-153.0,118.0,52.25
61,1,15,2,3,-155.0,118.0,51.0
62,1,15,2,3,-157.0,118.0,49.75
63,1,15,2,3,-159.0,118.0,53.67
64,1,15,2,4,-165.0,118.0,52.67
65,1,15,2,4,-167.0,118.0,51.0
66,1,15,2,4,-167.0,118.0,50.0
67,1,15,2,4,-167.0,118.0,49.33
68,1,15,2,4,-167.0,118.0,48.33
69,1,15,2,4,-167.0,118.0,54.33
70,1,15,2,4,-167.0,118.0,52.0
71,1,15,2,4,-167.0,118.0,51.0
72,1,15,2,4,-167.0,118.0,50.0
73,1,15,2,4,-167.0,118.0,48.67
74,1,15,2,4,-167.0,118.0,47.67
75,1,15,2,4,-167.0,118.0,46.67
76,1,15,2,4,-167.0,118.0,45.0
77,1,15,2,4,-167.0,118.0,51.67
78,1,15,2,4,-167.0,118.0,50.0
79,1,15,2,4,-167.0,118.0,48.33
80,1,15,2,4,-167.0,118.0,46.67
81,1,15,2,4,-169.0,118.0,45.0
82,1,15,2,4,-169.0,118.0,44.33
83,1,15,2,4,-169.0,118.0,43.33
84,1,15,2,4,-169.0,118.0,41.67
85,1,15,2,4,-169.0,118.0,50.0
86,1,15,2,4,-169.0,118.0,48.33
87,1,15,2,4,-169.0,118.0,47.0
88,1,15,2,4,-169.0,118.0,46.0
89,1,15,2,4,-169.0,118.0,45.33
90,1,15,2,4,-169.0,118.0,43.67
91,1,15,2,4,-169.0,118.0,42.0
92,1,15,2,4,-169.0,118.0,41.0
93,1,15,2,4,-169.0,118.0,40.0
94,1,15,2,4,-169.0,118.0,39.0
95,1,15,2,4,-169.0,118.0,46.67
96,1,15,2,4,-169.0,118.0,45.0
97,1,15,2,4,-169.0,118.0,44.0
98,1,15,2,4,-169.0,118.0,42.33
99,1,15,2,4,-169.0,118.0,41.33
100,1,15,2,4,-169.0,118.0,39.67
101,1,15,2,4,-169.0,118.0,38.67
102,1,15,2,4,-171.0,118.0,38.0
103,1,15,2,4,-173.0,118.0,37.0
104,1,15,2,4,-175.0,118.0,34.67
105,1,15,2,4,-177.0,118.0,43.0
106,1,15,2,4,-179.0,118.0,42.0
107,1,15,2,4,-179.0,118.0,40.0
108,1,15,2,5,-185.0,118.0,40.0
109,1,15,2,5,-185.0,118.0,40.0
110,1,15,2,5,-185.0,118.0,40.0
111,1,15,2,5,-185.0,118.0,40.0
112,1,15,2,5,-185.0,118.0,40.0
