step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,-6.0,22.0,117.71
2,0,0,18,0,-10.0,29.0,114.57
3,0,0,18,0,-12.0,35.0,112.43
4,0,0,18,0,-12.0,44.0,110.14
5,0,0,18,0,-14.0,53.0,107.86
6,0,0,18,0,-16.0,68.0,105.57
7,0,0,18,0,-18.0,86.0,103.29
8,0,0,18,0,-22.0,100.0,101.0
9,0,0,18,0,-22.0,114.0,98.71
10,0,0,18,0,-32.0,120.0,96.43
11,0,0,18,0,-40.0,120.0,94.29
12,0,0,18,0,-44.0,120.0,92.14
13,0,2,16,0,-68.0,120.0,90.0
14,0,3,15,0,-78.0,120.0,86.86
15,0,3,15,0,-84.0,120.0,84.57
16,0,3,15,0,-94.0,120.0,82.29
17,0,3,15,0,-100.0,120.0,79.14
18,1,4,13,0,-100.0,120.0,75.43
19,2,4,12,0,-95.0,120.0,71.86
20,2,4,12,0,-101.0,120.0,70.67
21,2,4,12,1,-111.0,120.0,68.5
22,2,4,12,1,-117.0,120.0,64.6
23,2,5,11,2,-129.0,120.0,62.4
24,2,6,10,2,-139.0,120.0,60.2
25,2,6,10,2,-143.0,120.0,56.8
26,2,6,10,2,-147.0,121.0,54.6
27,2,8,8,2,-161.0,121.0,52.4
28,2,9,7,2,-167.0,121.0,50.2
29,2,9,7,2,-169.0,121.0,48.0
30,2,9,7,2,-169.0,121.0,45.8
31,2,10,6,2,-173.0,121.0,43.6
32,2,10,6,2,-175.0,121.0,41.4
33,2,11,5,2,-181.0,121.0,39.2
34,2,12,4,2,-189.0,121.0,37.0
35,2,14,2,2,-201.0,121.0,40.4
36,2,14,2,2,-201.0,121.0,38.6
37,3,14,1,2,-186.0,121.0,35.0
38,3,14,1,2,-186.0,121.0,37.8
39,3,14,1,2,-186.0,121.0,40.0
40,3,14,1,2,-186.0,121.0,38.2
41,3,14,1,2,-186.0,121.0,36.4
42,4,14,0,2,-180.0,121.0,32.6
