step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,19.0,117.71
2,0,0,18,0,0.0,25.0,115.43
3,0,0,18,0,0.0,29.0,113.14
4,0,0,18,0,-4.0,36.0,110.86
5,0,0,18,0,-6.0,43.0,108.57
6,0,0,18,0,-10.0,56.0,106.29
7,0,0,18,0,-12.0,71.0,104.14
8,0,0,18,0,-14.0,82.0,101.86
9,0,0,18,0,-14.0,98.0,99.57
10,0,0,18,0,-20.0,115.0,97.29
11,0,2,16,0,-36.0,116.0,95.0
12,0,3,15,0,-50.0,116.0,92.0
13,1,4,13,0,-45.0,116.0,87.33
14,1,5,12,1,-57.0,116.0,85.17
15,1,5,12,1,-61.0,116.0,82.83
16,1,5,12,1,-65.0,116.0,80.5
17,1,6,11,1,-75.0,116.0,78.33
18,1,7,10,1,-81.0,116.0,75.0
19,1,7,10,1,-87.0,116.0,70.8
20,1,7,10,2,-95.0,116.0,68.4
21,2,9,7,2,-90.0,116.0,64.0
22,2,9,7,2,-92.0,116.0,61.6
23,2,9,7,2,-94.0,116.0,59.2
24,2,10,6,2,-100.0,116.0,55.6
25,2,11,5,2,-104.0,116.0,53.2
26,2,11,5,2,-104.0,116.0,51.0
27,2,12,4,2,-110.0,116.0,48.6
28,3,12,3,2,-106.0,116.0,44.2
29,3,13,2,2,-112.0,116.0,40.6
30,3,13,2,2,-114.0,116.0,38.2
31,3,13,2,2,-116.0,116.0,35.8
32,3,13,2,2,-118.0,116.0,33.4
33,3,14,1,2,-124.0,116.0,31.0
34,3,14,1,2,-128.0,116.0,38.6
35,3,14,1,2,-134.0,116.0,41.8
36,3,14,1,2,-138.0,116.0,39.4
37,3,15,0,2,-144.0,117.0,37.0
