step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,18.0,118.29
2,0,0,18,0,0.0,26.0,115.71
3,0,0,18,0,-4.0,31.0,113.71
4,0,0,18,0,-8.0,39.0,112.0
5,0,0,18,0,-8.0,51.0,109.86
6,0,0,18,0,-8.0,66.0,107.86
7,0,0,18,0,-12.0,81.0,105.86
8,0,0,18,0,-14.0,101.0,104.14
9,0,0,18,0,-14.0,116.0,102.14
10,0,0,18,0,-14.0,126.0,100.29
11,0,0,18,0,-16.0,126.0,98.14
12,0,1,17,0,-20.0,126.0,95.57
13,0,1,17,0,-20.0,126.0,93.86
14,0,3,15,0,-28.0,126.0,92.14
15,0,3,15,0,-28.0,126.0,90.43
16,1,3,14,0,-17.0,126.0,87.43
17,1,3,14,0,-21.0,126.0,87.83
18,1,5,12,1,-35.0,126.0,86.33
19,1,6,11,1,-39.0,128.0,83.83
20,1,6,11,1,-39.0,128.0,82.33
21,2,6,10,1,-35.0,128.0,79.17
22,2,7,9,1,-43.0,128.0,77.67
23,2,8,8,1,-51.0,128.0,76.17
24,2,8,8,1,-53.0,128.0,74.83
25,2,8,8,1,-53.0,128.0,73.33
26,2,8,8,1,-55.0,128.0,71.83
27,2,9,7,1,-59.0,128.0,71.4
28,2,11,5,2,-75.0,128.0,69.6
29,2,11,5,2,-75.0,128.0,68.2
30,2,11,5,2,-75.0,128.0,66.8
31,2,12,4,2,-81.0,128.0,65.4
32,2,12,4,2,-85.0,128.0,63.6
33,2,13,3,2,-91.0,128.0,62.2
34,2,15,1,2,-103.0,128.0,60.6
35,2,15,1,2,-113.0,128.0,64.0
36,3,15,0,2,-100.0,128.0,69.25
