step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,-2.0,23.0,116.86
2,0,0,18,0,-2.0,28.0,114.71
3,0,0,18,0,-10.0,34.0,112.57
4,0,0,18,0,-16.0,40.0,110.29
5,0,0,18,0,-24.0,45.0,108.5
6,0,0,18,1,-34.0,52.0,106.33
7,0,0,18,1,-34.0,62.0,104.33
8,0,0,18,1,-40.0,73.0,102.17
9,0,0,18,1,-44.0,90.0,100.0
10,0,0,18,1,-48.0,112.0,97.83
11,0,1,17,1,-56.0,116.0,95.67
12,0,1,17,1,-60.0,116.0,93.5
13,0,1,17,1,-66.0,116.0,91.33
14,0,1,17,1,-70.0,116.0,89.17
15,0,1,17,1,-74.0,116.0,87.0
16,0,1,17,1,-76.0,116.0,84.83
17,0,3,15,1,-86.0,116.0,82.83
18,0,3,15,1,-88.0,116.0,80.67
19,0,4,14,1,-94.0,116.0,78.5
20,0,4,14,1,-98.0,116.0,76.33
21,0,4,14,1,-102.0,116.0,74.17
22,0,5,13,1,-114.0,116.0,72.0
23,0,5,13,1,-120.0,116.0,69.83
24,0,7,11,1,-132.0,116.0,67.67
25,0,7,11,1,-134.0,116.0,64.6
26,0,7,11,2,-142.0,116.0,62.4
27,0,7,11,2,-148.0,116.0,60.2
28,0,9,9,2,-164.0,116.0,58.0
29,0,9,9,2,-168.0,116.0,55.8
30,0,10,8,2,-178.0,116.0,53.6
31,0,11,7,2,-190.0,116.0,51.4
32,0,12,6,2,-200.0,116.0,49.2
33,0,13,5,2,-212.0,116.0,47.2
34,0,16,2,2,-228.0,116.0,44.75
35,0,16,2,3,-234.0,116.0,50.5
36,0,16,2,3,-236.0,116.0,48.75
37,0,16,2,3,-238.0,116.0,47.0
38,0,17,1,3,-246.0,116.0,45.0
39,0,17,1,3,-250.0,116.0,43.5
40,0,17,1,3,-252.0,116.0,42.25
41,0,17,1,3,-252.0,116.0,41.0
42,0,17,1,3,-252.0,116.0,39.75
43,0,17,1,3,-252.0,116.0,38.5
44,0,17,1,3,-254.0,116.0,37.25
45,0,17,1,3,-256.0,116.0,42.5
46,0,17,1,3,-256.0,116.0,41.25
47,0,17,1,3,-256.0,116.0,39.75
48,0,17,1,3,-256.0,116.0,38.5
49,0,17,1,3,-256.0,116.0,37.25
50,0,17,1,3,-256.0,116.0,42.75
51,0,17,1,3,-256.0,116.0,41.0
52,1,17,0,3,-250.0,116.0,37.25
