step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,18.0,117.71
2,0,0,18,0,0.0,24.0,114.57
3,0,0,18,0,0.0,28.0,112.43
4,0,0,18,0,0.0,38.0,109.29
5,0,0,18,0,0.0,42.0,107.0
6,0,0,18,0,-2.0,49.0,104.71
7,0,0,18,0,-10.0,61.0,102.57
8,1,0,17,0,-1.0,75.0,98.86
9,1,0,17,0,-7.0,90.0,95.71
10,1,0,17,0,-13.0,105.0,93.43
11,1,1,16,0,-27.0,120.0,90.29
12,1,1,16,0,-35.0,120.0,88.0
13,1,1,16,0,-39.0,120.0,84.33
14,1,1,16,1,-55.0,120.0,82.4
15,1,2,15,2,-69.0,120.0,80.2
16,1,2,15,2,-75.0,120.0,76.8
17,1,2,15,2,-79.0,120.0,74.4
18,1,2,15,2,-83.0,120.0,74.75
19,1,3,14,3,-95.0,120.0,71.0
20,1,5,12,3,-109.0,120.0,68.75
21,1,5,12,3,-117.0,120.0,66.25
22,1,5,12,3,-121.0,120.0,63.75
23,1,5,12,3,-125.0,120.0,61.25
24,1,6,11,3,-135.0,120.0,58.75
25,1,7,10,3,-143.0,120.0,56.25
26,1,7,10,3,-147.0,120.0,53.75
27,1,7,10,3,-151.0,120.0,51.25
28,1,7,10,3,-155.0,120.0,48.75
29,1,8,9,3,-159.0,120.0,49.67
30,1,8,9,4,-165.0,120.0,47.33
31,1,8,9,4,-165.0,120.0,45.0
32,1,8,9,4,-167.0,120.0,43.0
33,1,8,9,4,-171.0,120.0,40.67
34,1,8,9,4,-171.0,120.0,38.33
35,1,8,9,4,-171.0,120.0,45.33
36,1,8,9,4,-173.0,120.0,43.0
37,1,9,8,4,-177.0,120.0,40.67
38,1,9,8,4,-177.0,120.0,38.67
39,1,9,8,4,-177.0,120.0,36.67
40,1,10,7,4,-181.0,120.0,35.33
41,1,10,7,4,-183.0,120.0,33.0
42,1,10,7,4,-183.0,120.0,31.33
43,1,12,5,4,-191.0,120.0,29.67
44,1,12,5,4,-191.0,120.0,35.33
45,1,14,3,4,-199.0,120.0,33.67
46,1,14,3,4,-199.0,120.0,41.33
47,1,14,3,4,-199.0,120.0,39.0
48,1,14,3,4,-199.0,120.0,36.67
49,1,14,3,4,-201.0,120.0,35.0
50,1,14,3,4,-205.0,120.0,33.33
51,1,14,3,4,-207.0,120.0,31.67
52,2,14,2,4,-194.0,120.0,26.67
53,2,14,2,4,-196.0,120.0,32.33
54,2,14,2,4,-198.0,120.0,30.67
55,2,14,2,4,-200.0,120.0,38.33
56,2,14,2,4,-204.0,120.0,36.0
57,2,14,2,4,-206.0,120.0,33.67
58,2,14,2,4,-206.0,120.0,32.0
59,2,14,2,4,-206.0,120.0,30.33
60,2,14,2,4,-206.0,120.0,28.67
61,2,14,2,4,-206.0,120.0,33.67
62,2,14,2,4,-208.0,120.0,32.0
63,2,14,2,4,-210.0,120.0,29.67
64,2,14,2,4,-210.0,120.0,37.33
65,2,14,2,4,-210.0,120.0,35.67
66,2,14,2,4,-210.0,120.0,33.33
67,2,14,2,4,-212.0,120.0,31.67
68,2,14,2,4,-214.0,120.0,30.0
69,2,14,2,4,-216.0,120.0,27.67
70,2,14,2,4,-218.0,120.0,26.0
71,2,14,2,4,-220.0,120.0,24.33
72,2,14,2,4,-222.0,120.0,29.33
73,2,14,2,4,-224.0,120.0,34.33
74,2,14,2,4,-224.0,120.0,42.0
75,3,14,1,4,-218.0,120.0,37.0
76,3,14,1,4,-218.0,120.0,35.33
77,3,14,1,4,-220.0,120.0,33.67
78,3,14,1,4,-220.0,120.0,38.67
79,3,14,1,4,-220.0,120.0,36.33
80,3,14,1,4,-222.0,120.0,34.67
81,3,14,1,4,-222.0,120.0,33.33
82,3,14,1,4,-224.0,120.0,31.67
83,3,14,1,4,-228.0,120.0,38.67
84,3,14,1,4,-230.0,120.0,36.33
85,3,14,1,4,-232.0,120.0,34.67
86,3,14,1,4,-234.0,122.0,36.5
87,3,14,1,5,-240.0,122.0,34.5
88,3,14,1,5,-240.0,122.0,33.5
89,3,14,1,5,-242.0,122.0,31.0
90,3,14,1,5,-242.0,122.0,29.5
91,3,14,1,5,-242.0,122.0,28.0
92,3,14,1,5,-242.0,122.0,25.5
93,3,14,1,5,-242.0,122.0,35.5
94,3,14,1,5,-242.0,122.0,34.5
95,3,14,1,5,-242.0,122.0,33.0
96,3,14,1,5,-242.0,122.0,31.5
97,3,14,1,5,-242.0,122.0,30.5
98,3,14,1,5,-242.0,122.0,29.0
99,3,14,1,5,-242.0,122.0,26.5
100,3,14,1,5,-242.0,122.0,25.0
101,3,14,1,5,-242.0,122.0,23.5
102,3,14,1,5,-242.0,122.0,36.0
103,3,14,1,5,-242.0,122.0,34.5
104,3,14,1,5,-242.0,122.0,33.0
105,3,14,1,5,-242.0,122.0,31.5
106,3,14,1,5,-242.0,122.0,30.0
107,3,14,1,5,-242.0,122.0,28.5
108,3,14,1,5,-242.0,122.0,26.0
109,3,14,1,5,-242.0,122.0,25.0
110,3,14,1,6,-248.0,122.0,22.0
111,3,14,1,6,-248.0,122.0,47.0
112,3,14,1,6,-248.0,122.0,44.0
113,3,14,1,6,-248.0,122.0,41.0
114,3,14,1,6,-248.0,122.0,38.0
115,3,14,1,6,-248.0,122.0,35.0
116,3,14,1,6,-248.0,122.0,32.0
117,3,14,1,6,-248.0,122.0,29.0
118,3,14,1,6,-248.0,122.0,26.0
119,3,14,1,6,-248.0,122.0,23.0
120,3,14,1,6,-248.0,122.0,48.0
121,3,14,1,6,-248.0,122.0,45.0
122,3,14,1,6,-248.0,122.0,42.0
123,3,14,1,6,-248.0,122.0,39.0
124,3,14,1,6,-248.0,122.0,36.0
125,3,14,1,6,-248.0,122.0,33.0
126,3,14,1,6,-248.0,122.0,30.0
127,3,14,1,6,-248.0,122.0,27.0
128,3,14,1,6,-248.0,122.0,24.0
129,3,14,1,6,-248.0,122.0,21.0
130,3,14,1,6,-248.0,122.0,46.0
131,3,14,1,6,-248.0,122.0,43.0
132,3,14,1,6,-248.0,122.0,40.0
133,3,14,1,6,-248.0,122.0,37.0
134,3,14,1,6,-248.0,122.0,34.0
135,3,14,1,6,-248.0,122.0,31.0
136,3,14,1,6,-248.0,122.0,28.0
137,3,14,1,6,-248.0,122.0,25.0
138,3,14,1,6,-248.0,122.0,22.0
139,3,14,1,6,-248.0,122.0,47.0
140,3,14,1,6,-248.0,122.0,44.0
141,3,14,1,6,-248.0,122.0,41.0
142,3,14,1,6,-248.0,122.0,38.0
143,3,14,1,6,-248.0,122.0,35.0
144,3,14,1,6,-248.0,122.0,32.0
145,3,14,1,6,-248.0,122.0,30.0
146,3,14,1,6,-248.0,122.0,28.0
147,3,14,1,6,-248.0,122.0,25.0
148,3,14,1,6,-248.0,122.0,22.0
149,3,14,1,6,-248.0,122.0,47.0
150,3,14,1,6,-248.0,122.0,44.0
151,3,14,1,6,-248.0,122.0,41.0
152,3,14,1,6,-248.0,122.0,38.0
153,3,14,1,6,-248.0,122.0,35.0
154,3,14,1,6,-248.0,122.0,32.0
155,3,14,1,6,-248.0,122.0,30.0
156,3,14,1,6,-248.0,122.0,27.0
157,3,14,1,6,-248.0,122.0,24.0
158,3,14,1,6,-248.0,122.0,21.0
159,3,14,1,6,-248.0,122.0,46.0
160,3,14,1,6,-248.0,122.0,43.0
161,3,14,1,6,-248.0,122.0,40.0
162,3,14,1,6,-248.0,122.0,37.0
163,3,14,1,6,-248.0,122.0,34.0
164,3,14,1,6,-248.0,122.0,31.0
165,3,14,1,6,-248.0,122.0,28.0
166,3,14,1,6,-248.0,122.0,25.0
167,3,14,1,6,-248.0,122.0,22.0
168,3,14,1,6,-248.0,122.0,47.0
169,3,14,1,6,-248.0,122.0,44.0
170,3,14,1,6,-248.0,122.0,41.0
171,3,14,1,6,-248.0,122.0,38.0
172,3,14,1,6,-248.0,122.0,35.0
173,3,14,1,6,-248.0,122.0,32.0
174,3,14,1,6,-248.0,122.0,29.0
175,3,14,1,6,-248.0,122.0,26.0
176,3,14,1,6,-248.0,122.0,23.0
177,3,14,1,6,-248.0,122.0,48.0
178,3,14,1,6,-248.0,122.0,45.0
179,3,14,1,6,-248.0,122.0,42.0
180,3,14,1,6,-248.0,122.0,39.0
181,3,14,1,6,-248.0,122.0,36.0
182,3,14,1,6,-248.0,122.0,33.0
183,3,14,1,6,-248.0,122.0,30.0
184,3,14,1,6,-248.0,122.0,27.0
185,3,14,1,6,-248.0,122.0,24.0
186,3,14,1,6,-248.0,122.0,21.0
187,3,14,1,6,-248.0,122.0,46.0
188,3,14,1,6,-248.0,122.0,43.0
189,3,14,1,6,-248.0,122.0,40.0
190,3,14,1,6,-248.0,122.0,37.0
191,3,14,1,6,-248.0,122.0,34.0
192,3,14,1,6,-248.0,122.0,31.0
193,3,14,1,6,-248.0,122.0,28.0
194,3,14,1,6,-248.0,122.0,25.0
195,3,14,1,6,-248.0,122.0,22.0
196,3,14,1,6,-248.0,122.0,47.0
197,3,14,1,6,-248.0,122.0,44.0
198,3,14,1,6,-248.0,122.0,41.0
199,3,14,1,6,-248.0,122.0,38.0
200,3,14,1,6,-248.0,122.0,35.0
201,3,14,1,6,-248.0,122.0,32.0
202,3,14,1,6,-248.0,122.0,29.0
203,3,14,1,6,-248.0,122.0,26.0
204,3,14,1,6,-248.0,122.0,23.0
205,3,14,1,6,-248.0,122.0,48.0
206,3,14,1,6,-248.0,122.0,45.0
207,3,14,1,6,-248.0,122.0,42.0
208,3,14,1,6,-248.0,122.0,39.0
209,3,14,1,6,-248.0,122.0,36.0
210,3,14,1,6,-248.0,122.0,33.0
211,3,14,1,6,-248.0,122.0,30.0
212,3,14,1,6,-248.0,122.0,27.0
213,3,14,1,6,-248.0,122.0,24.0
214,3,14,1,6,-248.0,122.0,21.0
215,3,14,1,6,-248.0,122.0,46.0
216,3,14,1,6,-248.0,122.0,43.0
217,3,14,1,6,-248.0,122.0,40.0
218,3,14,1,6,-248.0,122.0,37.0
219,3,14,1,6,-248.0,122.0,34.0
220,3,14,1,6,-248.0,122.0,31.0
221,3,14,1,6,-248.0,122.0,28.0
222,3,14,1,6,-248.0,122.0,25.0
223,3,14,1,6,-248.0,122.0,22.0
224,3,14,1,6,-248.0,122.0,47.0
225,3,14,1,6,-248.0,122.0,44.0
226,3,14,1,6,-248.0,122.0,41.0
227,3,14,1,6,-248.0,122.0,38.0
228,3,14,1,6,-248.0,122.0,35.0
229,3,14,1,6,-248.0,122.0,32.0
230,3,14,1,6,-248.0,122.0,29.0
231,3,14,1,6,-248.0,122.0,26.0
232,3,14,1,6,-248.0,122.0,23.0
233,3,14,1,6,-248.0,122.0,48.0
234,3,14,1,6,-248.0,122.0,45.0
235,3,14,1,6,-248.0,122.0,42.0
236,3,14,1,6,-248.0,122.0,39.0
237,3,14,1,6,-248.0,122.0,36.0
238,3,14,1,6,-248.0,122.0,33.0
239,3,14,1,6,-248.0,122.0,30.0
240,3,14,1,6,-248.0,122.0,27.0
241,3,14,1,6,-248.0,122.0,24.0
242,3,14,1,6,-248.0,122.0,21.0
243,3,14,1,6,-248.0,122.0,46.0
244,3,14,1,6,-248.0,122.0,43.0
245,3,14,1,6,-248.0,122.0,40.0
246,3,14,1,6,-248.0,122.0,37.0
247,3,14,1,6,-248.0,122.0,34.0
248,3,14,1,6,-248.0,122.0,31.0
249,3,14,1,6,-248.0,122.0,28.0
250,3,14,1,6,-248.0,122.0,25.0
251,3,14,1,6,-248.0,122.0,22.0
252,3,14,1,6,-248.0,122.0,47.0
253,3,14,1,6,-248.0,122.0,44.0
254,3,14,1,6,-248.0,122.0,41.0
255,3,14,1,6,-248.0,122.0,38.0
256,3,14,1,6,-248.0,122.0,35.0
257,3,14,1,6,-248.0,122.0,32.0
258,3,14,1,6,-248.0,122.0,30.0
259,3,14,1,6,-248.0,122.0,27.0
260,3,14,1,6,-248.0,122.0,24.0
261,3,14,1,6,-248.0,122.0,21.0
262,3,14,1,6,-248.0,122.0,46.0
263,3,14,1,6,-248.0,122.0,43.0
264,3,14,1,6,-248.0,122.0,40.0
265,3,14,1,6,-248.0,122.0,37.0
266,3,14,1,6,-248.0,122.0,34.0
267,3,14,1,6,-248.0,122.0,31.0
268,3,14,1,6,-248.0,122.0,28.0
269,3,14,1,6,-248.0,122.0,25.0
270,3,14,1,6,-248.0,122.0,22.0
271,3,14,1,6,-248.0,122.0,47.0
272,3,14,1,6,-248.0,122.0,44.0
273,3,14,1,6,-248.0,122.0,41.0
274,3,14,1,6,-248.0,122.0,38.0
275,3,14,1,6,-248.0,122.0,35.0
276,3,14,1,6,-248.0,122.0,32.0
277,3,14,1,6,-248.0,122.0,29.0
278,3,14,1,6,-248.0,122.0,26.0
279,3,14,1,6,-248.0,122.0,23.0
280,3,14,1,6,-248.0,122.0,48.0
281,3,14,1,6,-248.0,122.0,45.0
282,3,14,1,6,-248.0,122.0,42.0
283,3,14,1,6,-248.0,122.0,39.0
284,3,14,1,6,-248.0,122.0,36.0
285,3,14,1,6,-248.0,122.0,33.0
286,3,14,1,6,-248.0,122.0,30.0
287,3,14,1,6,-248.0,122.0,27.0
288,3,14,1,6,-248.0,122.0,24.0
289,3,14,1,6,-248.0,122.0,21.0
290,3,14,1,6,-248.0,122.0,46.0
291,3,14,1,6,-248.0,122.0,44.0
292,3,14,1,6,-248.0,122.0,41.0
293,3,14,1,6,-248.0,122.0,38.0
294,3,14,1,6,-248.0,122.0,35.0
295,3,14,1,6,-248.0,122.0,33.0
296,3,14,1,6,-248.0,122.0,30.0
297,3,14,1,6,-248.0,122.0,27.0
298,3,14,1,6,-248.0,122.0,24.0
299,3,14,1,6,-248.0,122.0,21.0
300,3,14,1,6,-248.0,122.0,46.0
