step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,-2.0,21.0,118.0
2,0,0,18,0,-4.0,24.0,115.86
3,0,0,18,0,-4.0,32.0,112.71
4,0,0,18,0,-8.0,43.0,110.43
5,0,0,18,0,-10.0,49.0,108.14
6,0,0,18,0,-12.0,57.0,105.86
7,0,0,18,0,-14.0,66.0,102.71
8,0,0,18,0,-14.0,76.0,100.43
9,0,1,17,0,-20.0,92.0,98.14
10,0,1,17,0,-22.0,110.0,95.86
11,0,1,17,0,-26.0,119.0,93.57
12,0,2,16,0,-32.0,120.0,91.43
13,0,2,16,0,-36.0,120.0,89.14
14,0,3,15,0,-51.0,120.0,85.14
15,0,4,14,0,-65.0,120.0,81.83
16,0,5,13,1,-83.0,120.0,79.5
17,0,5,13,1,-89.0,120.0,77.17
18,1,6,11,1,-84.0,120.0,73.17
19,1,6,11,1,-90.0,120.0,70.83
20,1,8,9,1,-104.0,120.0,68.5
21,1,8,9,1,-108.0,120.0,66.33
22,2,9,7,1,-101.0,120.0,62.33
23,2,11,5,1,-109.0,120.0,60.5
24,2,11,5,1,-109.0,120.0,58.5
25,2,11,5,1,-109.0,120.0,56.5
26,2,12,4,1,-113.0,120.0,54.5
27,2,12,4,1,-113.0,120.0,52.83
28,2,12,4,1,-113.0,120.0,50.83
29,2,13,3,1,-117.0,120.0,49.17
30,2,14,2,1,-121.0,120.0,47.17
31,2,14,2,1,-121.0,120.0,48.83
32,2,14,2,1,-121.0,120.0,47.17
33,2,14,2,1,-121.0,120.0,45.17
34,2,15,1,1,-127.0,120.0,47.83
35,2,15,1,1,-127.0,120.0,50.67
36,2,15,1,1,-127.0,120.0,49.17
37,2,15,1,1,-127.0,120.0,47.17
38,3,15,0,1,-117.0,120.0,43.83
