step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,12.0,117.71
2,0,0,18,0,0.0,13.0,115.43
3,0,0,18,0,-4.0,19.0,112.29
4,0,0,18,0,-6.0,25.0,110.14
5,0,0,18,0,-18.0,35.0,108.0
6,0,0,18,0,-28.0,48.0,105.71
7,1,0,17,0,-19.0,60.0,102.14
8,1,0,17,0,-27.0,70.0,99.86
9,1,0,17,0,-33.0,85.0,97.71
10,1,0,17,0,-35.0,97.0,94.67
11,1,0,17,1,-43.0,119.0,92.33
12,1,0,17,1,-45.0,119.0,90.17
13,1,1,16,1,-49.0,119.0,87.83
14,1,1,16,1,-49.0,119.0,85.67
15,1,1,16,1,-49.0,119.0,83.33
16,1,1,16,1,-49.0,119.0,79.0
17,1,1,16,1,-49.0,119.0,76.67
18,2,1,15,1,-39.0,119.0,73.0
19,2,1,15,1,-39.0,119.0,70.83
20,2,2,14,1,-43.0,119.0,68.67
21,2,2,14,1,-45.0,119.0,66.33
22,2,4,12,1,-55.0,119.0,64.0
23,2,4,12,1,-59.0,121.0,61.83
24,3,5,10,1,-57.0,121.0,57.83
25,3,6,9,1,-65.0,121.0,55.5
26,3,7,8,1,-71.0,121.0,53.33
27,3,8,7,1,-77.0,121.0,51.0
28,3,8,7,1,-79.0,121.0,48.83
29,3,10,5,1,-89.0,121.0,46.67
30,3,11,4,1,-97.0,121.0,44.33
31,3,11,4,1,-97.0,121.0,42.0
32,3,12,3,1,-101.0,121.0,40.0
33,3,12,3,1,-101.0,121.0,38.0
34,3,13,2,1,-105.0,121.0,36.0
35,3,15,0,1,-113.0,121.0,34.0
