step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,-6.0,23.0,117.71
2,0,0,18,0,-10.0,28.0,114.57
3,0,0,18,0,-12.0,38.0,112.5
4,0,0,18,1,-18.0,44.0,108.33
5,0,0,18,1,-18.0,50.0,105.17
6,2,0,16,1,10.0,64.0,99.67
7,2,0,16,1,8.0,77.0,97.5
8,2,0,16,1,8.0,92.0,95.33
9,2,0,16,1,8.0,107.0,93.17
10,2,0,16,1,4.0,112.0,91.0
11,2,1,15,1,-4.0,112.0,88.83
12,2,1,15,1,-4.0,112.0,86.67
13,2,1,15,1,-4.0,112.0,84.5
14,2,2,14,1,-10.0,112.0,82.33
15,2,3,13,1,-18.0,112.0,80.17
16,2,3,13,1,-26.0,112.0,78.17
17,2,3,13,1,-32.0,112.0,77.2
18,2,4,12,2,-46.0,112.0,75.0
19,3,4,11,2,-36.0,112.0,71.0
20,3,5,10,2,-40.0,112.0,69.0
21,3,6,9,2,-48.0,112.0,66.8
22,3,7,8,2,-56.0,112.0,64.6
23,3,8,7,2,-64.0,112.0,62.4
24,3,8,7,2,-64.0,112.0,60.4
25,3,9,6,2,-70.0,112.0,58.2
26,3,9,6,2,-72.0,112.0,56.0
27,3,10,5,2,-80.0,112.0,53.8
28,3,11,4,2,-86.0,112.0,51.6
29,3,12,3,2,-92.0,112.0,49.8
30,3,12,3,2,-94.0,112.0,48.4
31,3,12,3,2,-94.0,112.0,47.2
32,3,12,3,2,-96.0,112.0,45.4
33,3,12,3,2,-98.0,112.0,44.0
34,3,13,2,2,-104.0,112.0,42.6
35,3,14,1,2,-108.0,112.0,46.8
36,3,14,1,2,-110.0,112.0,45.0
37,3,14,1,2,-112.0,112.0,43.6
38,3,14,1,2,-116.0,112.0,41.8
39,3,14,1,2,-118.0,112.0,49.75
40,3,14,1,3,-124.0,112.0,48.5
41,4,14,0,3,-109.0,112.0,44.5
